device_hub,quarter,month,year,Non-components created (month),Snapshot (month),Ready (month),Locate (month),Allocate (month),Receive (month),Alive (month),Recycle (month),Dispose (month),Shell (month),Migrate (month)
dh_ereuseorg,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_solidanca,Q4,10,2017,0,0,0,0,2,2,0,0,0,0,0
dh_solidanca,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_solidanca,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_solidanca,Q1,1,2018,4,4,0,0,0,0,0,0,0,0,0
dh_solidanca,Q1,2,2018,247,276,0,0,0,0,0,0,0,0,0
dh_solidanca,Q1,3,2018,6,6,1,1,1,1,0,0,0,0,0
dh_circuitreutilitzacat,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q4,11,2017,24,24,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q1,1,2018,1,1,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,2
dh_computeraid,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_computeraid,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_computeraid,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_computeraid,Q1,1,2018,4,4,0,0,0,0,0,0,0,0,0
dh_computeraid,Q1,2,2018,72,72,0,0,0,63,0,0,0,0,0
dh_computeraid,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
